Borough,Grade,Year,Category,Number Tested,Mean Scale Score,Level1,Level1p,Level2,Level2p,Level3,Level3p,Level4,Level4p,Level3&4,Level3&4p
BRONX,3,2006,Female,7984,664,911,11.40%,1635,20.50%,4232,53.00%,1206,15.10%,5438,68.10%
BRONX,3,2006,Male,8461,663,1151,13.60%,1622,19.20%,4386,51.80%,1302,15.40%,5688,67.20%
BRONX,3,2007,Female,7803,675,484,6.20%,1296,16.60%,4410,56.50%,1613,20.70%,6023,77.20%
BRONX,3,2007,Male,8386,673,761,9.10%,1344,16.00%,4586,54.70%,1695,20.20%,6281,74.90%
BRONX,3,2008,Female,7556,678,249,3.30%,958,12.70%,5123,67.80%,1226,16.20%,6349,84.00%
BRONX,3,2008,Male,8080,676,421,5.20%,1103,13.70%,5324,65.90%,1232,15.20%,6556,81.10%
BRONX,3,2009,Female,7659,683,84,1.10%,683,8.90%,5519,72.10%,1373,17.90%,6892,90.00%
BRONX,3,2009,Male,8150,680,174,2.10%,883,10.80%,5776,70.90%,1317,16.20%,7093,87.00%
BRONX,3,2010,Female,7653,683,1200,15.70%,3109,40.60%,2274,29.70%,1070,14.00%,3344,43.70%
BRONX,3,2010,Male,8213,683,1438,17.50%,3228,39.30%,2355,28.70%,1192,14.50%,3547,43.20%
BRONX,3,2011,Female,7714,679,1199,15.50%,3249,42.10%,2900,37.60%,366,4.70%,3266,42.30%
BRONX,3,2011,Male,8104,678,1367,16.90%,3377,41.70%,2853,35.20%,507,6.30%,3360,41.50%
BRONX,4,2006,Female,7738,658,997,12.90%,2073,26.80%,3763,48.60%,905,11.70%,4668,60.30%
BRONX,4,2006,Male,8060,658,1215,15.10%,1852,23.00%,3939,48.90%,1054,13.10%,4993,61.90%
BRONX,4,2007,Female,7721,663,823,10.70%,1884,24.40%,4021,52.10%,993,12.90%,5014,64.90%
BRONX,4,2007,Male,8345,662,1083,13.00%,1891,22.70%,4181,50.10%,1190,14.30%,5371,64.40%
BRONX,4,2008,Female,7623,668,599,7.90%,1439,18.90%,4460,58.50%,1125,14.80%,5585,73.30%
BRONX,4,2008,Male,8122,667,805,9.90%,1504,18.50%,4550,56.00%,1263,15.60%,5813,71.60%
BRONX,4,2009,Female,7532,678,420,5.60%,1050,13.90%,4297,57.00%,1765,23.40%,6062,80.50%
BRONX,4,2009,Male,7999,677,611,7.60%,1138,14.20%,4334,54.20%,1916,24.00%,6250,78.10%
BRONX,4,2010,Female,7739,674,678,8.80%,3496,45.20%,2513,32.50%,1052,13.60%,3565,46.10%
BRONX,4,2010,Male,8167,673,846,10.40%,3484,42.70%,2719,33.30%,1118,13.70%,3837,47.00%
BRONX,4,2011,Female,7715,676,639,8.30%,3139,40.70%,2868,37.20%,1069,13.90%,3937,51.00%
BRONX,4,2011,Male,8196,674,892,10.90%,3259,39.80%,2932,35.80%,1113,13.60%,4045,49.40%
BRONX,5,2006,Female,8098,648,1360,16.80%,2869,35.40%,3291,40.60%,578,7.10%,3869,47.80%
BRONX,5,2006,Male,8295,646,1615,19.50%,2671,32.20%,3407,41.10%,602,7.30%,4009,48.30%
BRONX,5,2007,Female,7903,657,815,10.30%,2462,31.20%,3867,48.90%,759,9.60%,4626,58.50%
BRONX,5,2007,Male,8357,655,1145,13.70%,2419,28.90%,3935,47.10%,858,10.30%,4793,57.40%
BRONX,5,2008,Female,7549,665,467,6.20%,1681,22.30%,4399,58.30%,1002,13.30%,5401,71.50%
BRONX,5,2008,Male,8213,663,769,9.40%,1764,21.50%,4558,55.50%,1122,13.70%,5680,69.20%
BRONX,5,2009,Female,7486,675,251,3.40%,1221,16.30%,4329,57.80%,1685,22.50%,6014,80.30%
BRONX,5,2009,Male,8013,672,413,5.20%,1371,17.10%,4461,55.70%,1768,22.10%,6229,77.70%
BRONX,5,2010,Female,7500,674,709,9.50%,3178,42.40%,2591,34.50%,1022,13.60%,3613,48.20%
BRONX,5,2010,Male,8020,672,1010,12.60%,3148,39.30%,2740,34.20%,1122,14.00%,3862,48.20%
BRONX,5,2011,Female,7655,676,659,8.60%,3005,39.30%,3057,39.90%,934,12.20%,3991,52.10%
BRONX,5,2011,Male,8050,674,902,11.20%,3086,38.30%,3058,38.00%,1004,12.50%,4062,50.50%
BRONX,6,2006,Female,7806,637,1911,24.50%,2878,36.90%,2691,34.50%,326,4.20%,3017,38.60%
BRONX,6,2006,Male,8025,636,2184,27.20%,2720,33.90%,2776,34.60%,345,4.30%,3121,38.90%
BRONX,6,2007,Female,7494,649,1220,16.30%,2443,32.60%,3264,43.60%,567,7.60%,3831,51.10%
BRONX,6,2007,Male,8128,645,1642,20.20%,2685,33.00%,3252,40.00%,549,6.80%,3801,46.80%
BRONX,6,2008,Female,7479,656,753,10.10%,2117,28.30%,3837,51.30%,772,10.30%,4609,61.60%
BRONX,6,2008,Male,7896,652,1084,13.70%,2290,29.00%,3704,46.90%,818,10.40%,4522,57.30%
BRONX,6,2009,Female,7347,665,460,6.30%,1729,23.50%,4196,57.10%,962,13.10%,5158,70.20%
BRONX,6,2009,Male,8093,660,771,9.50%,2127,26.30%,4189,51.80%,1006,12.40%,5195,64.20%
BRONX,6,2010,Female,7433,666,1099,14.80%,3221,43.30%,2096,28.20%,1017,13.70%,3113,41.90%
BRONX,6,2010,Male,7975,663,1481,18.60%,3351,42.00%,2154,27.00%,989,12.40%,3143,39.40%
BRONX,6,2011,Female,7429,669,1033,13.90%,3084,41.50%,2411,32.50%,901,12.10%,3312,44.60%
BRONX,6,2011,Male,7962,665,1496,18.80%,3229,40.60%,2360,29.60%,877,11.00%,3237,40.70%
BRONX,7,2006,Female,8272,631,1931,23.30%,3742,45.20%,2414,29.20%,185,2.20%,2599,31.40%
BRONX,7,2006,Male,8383,628,2261,27.00%,3631,43.30%,2312,27.60%,179,2.10%,2491,29.70%
BRONX,7,2007,Female,7889,645,1061,13.40%,3309,41.90%,3035,38.50%,484,6.10%,3519,44.60%
BRONX,7,2007,Male,8317,640,1510,18.20%,3437,41.30%,2899,34.90%,471,5.70%,3370,40.50%
BRONX,7,2008,Female,7736,655,499,6.50%,2567,33.20%,4002,51.70%,668,8.60%,4670,60.40%
BRONX,7,2008,Male,8295,649,852,10.30%,2979,35.90%,3845,46.40%,619,7.50%,4464,53.80%
BRONX,7,2009,Female,7613,664,185,2.40%,1802,23.70%,4863,63.90%,763,10.00%,5626,73.90%
BRONX,7,2009,Male,7998,662,314,3.90%,2131,26.60%,4688,58.60%,865,10.80%,5553,69.40%
BRONX,7,2010,Female,7433,662,1258,16.90%,3129,42.10%,2127,28.60%,919,12.40%,3046,41.00%
BRONX,7,2010,Male,8121,659,1522,18.70%,3597,44.30%,2134,26.30%,868,10.70%,3002,37.00%
BRONX,7,2011,Female,7542,664,1088,14.40%,3284,43.50%,2272,30.10%,898,11.90%,3170,42.00%
BRONX,7,2011,Male,7903,662,1440,18.20%,3239,41.00%,2204,27.90%,1020,12.90%,3224,40.80%
BRONX,8,2006,Female,8346,629,2631,31.50%,3499,41.90%,2012,24.10%,204,2.40%,2216,26.60%
BRONX,8,2006,Male,8392,624,2917,34.80%,3443,41.00%,1862,22.20%,170,2.00%,2032,24.20%
BRONX,8,2007,Female,8201,636,2076,25.30%,3428,41.80%,2437,29.70%,260,3.20%,2697,32.90%
BRONX,8,2007,Male,8528,633,2424,28.40%,3525,41.30%,2342,27.50%,237,2.80%,2579,30.20%
BRONX,8,2008,Female,7718,648,994,12.90%,2980,38.60%,3296,42.70%,448,5.80%,3744,48.50%
BRONX,8,2008,Male,8094,644,1416,17.50%,3018,37.30%,3238,40.00%,422,5.20%,3660,45.20%
BRONX,8,2009,Female,7786,661,419,5.40%,2295,29.50%,4381,56.30%,691,8.90%,5072,65.10%
BRONX,8,2009,Male,8268,656,605,7.30%,2718,32.90%,4403,53.30%,542,6.60%,4945,59.80%
BRONX,8,2010,Female,7708,663,1321,17.10%,3842,49.80%,1901,24.70%,644,8.40%,2545,33.00%
BRONX,8,2010,Male,8191,659,1892,23.10%,3923,47.90%,1808,22.10%,568,6.90%,2376,29.00%
BRONX,8,2011,Female,7543,665,1096,14.50%,3319,44.00%,2534,33.60%,594,7.90%,3128,41.50%
BRONX,8,2011,Male,8208,660,1573,19.20%,3675,44.80%,2436,29.70%,524,6.40%,2960,36.10%
BRONX,All Grades,2006,Female,48244,644,9741,20.20%,16696,34.60%,18403,38.10%,3404,7.10%,21807,45.20%
BRONX,All Grades,2006,Male,49616,642,11343,22.90%,15939,32.10%,18682,37.70%,3652,7.40%,22334,45.00%
BRONX,All Grades,2007,Female,47011,654,6479,13.80%,14822,31.50%,21034,44.70%,4676,9.90%,25710,54.70%
BRONX,All Grades,2007,Male,50061,651,8565,17.10%,15301,30.60%,21195,42.30%,5000,10.00%,26195,52.30%
BRONX,All Grades,2008,Female,45661,662,3561,7.80%,11742,25.70%,25117,55.00%,5241,11.50%,30358,66.50%
BRONX,All Grades,2008,Male,48700,659,5347,11.00%,12658,26.00%,25219,51.80%,5476,11.20%,30695,63.00%
BRONX,All Grades,2009,Female,45423,671,1819,4.00%,8780,19.30%,27585,60.70%,7239,15.90%,34824,76.70%
BRONX,All Grades,2009,Male,48521,668,2888,6.00%,10368,21.40%,27851,57.40%,7414,15.30%,35265,72.70%
BRONX,All Grades,2010,Female,45466,670,6265,13.80%,19975,43.90%,13502,29.70%,5724,12.60%,19226,42.30%
BRONX,All Grades,2010,Male,48687,668,8189,16.80%,20731,42.60%,13910,28.60%,5857,12.00%,19767,40.60%
BRONX,All Grades,2011,Female,45598,672,5714,12.50%,19080,41.80%,16042,35.20%,4762,10.40%,20804,45.60%
BRONX,All Grades,2011,Male,48423,669,7670,15.80%,19865,41.00%,15843,32.70%,5045,10.40%,20888,43.10%
BROOKLYN,3,2006,Female,11345,675,908,8.00%,1791,15.80%,5808,51.20%,2838,25.00%,8646,76.20%
BROOKLYN,3,2006,Male,11708,673,1115,9.50%,1851,15.80%,6012,51.30%,2730,23.30%,8742,74.70%
BROOKLYN,3,2007,Female,11192,685,513,4.60%,1367,12.20%,5806,51.90%,3506,31.30%,9312,83.20%
BROOKLYN,3,2007,Male,11569,681,725,6.30%,1496,12.90%,6116,52.90%,3232,27.90%,9348,80.80%
BROOKLYN,3,2008,Female,10622,686,266,2.50%,948,8.90%,6801,64.00%,2607,24.50%,9408,88.60%
BROOKLYN,3,2008,Male,11260,683,470,4.20%,1186,10.50%,7009,62.20%,2595,23.00%,9604,85.30%
BROOKLYN,3,2009,Female,10803,691,100,0.90%,694,6.40%,7172,66.40%,2837,26.30%,10009,92.70%
BROOKLYN,3,2009,Male,11015,688,207,1.90%,901,8.20%,7288,66.20%,2619,23.80%,9907,89.90%
BROOKLYN,3,2010,Female,10628,691,1200,11.30%,3630,34.20%,3458,32.50%,2340,22.00%,5798,54.60%
