Borough,Grade,Year,Demographic,Number Tested,Mean Scale Score,Level1_2,Level3,Level4
BRONX,3,2006,Female,7984,664,"2,546.0",4232,1206
BRONX,3,2006,Male,8461,663,"2,773.0",4386,1302
BRONX,3,2007,Female,7803,675,"1,780.0",4410,1613
BRONX,3,2007,Male,8386,673,"2,105.0",4586,1695
BRONX,3,2008,Female,7556,678,"1,207.0",5123,1226
BRONX,3,2008,Male,8080,676,"1,524.0",5324,1232
BRONX,3,2009,Female,7659,683,767.0,5519,1373
BRONX,3,2009,Male,8150,680,"1,057.0",5776,1317
BRONX,3,2010,Female,7653,683,"4,309.0",2274,1070
BRONX,3,2010,Male,8213,683,"4,666.0",2355,1192
BRONX,3,2011,Female,7714,679,"4,448.0",2900,366
BRONX,3,2011,Male,8104,678,"4,744.0",2853,507
BRONX,3,2012,Female,7748,680,"4,350.0",2925,473
BRONX,3,2012,Male,8310,679,"4,770.0",3045,495
BRONX,4,2006,Female,7738,658,"3,070.0",3763,905
BRONX,4,2006,Male,8060,658,"3,067.0",3939,1054
BRONX,4,2007,Female,7721,663,"2,707.0",4021,993
BRONX,4,2007,Male,8345,662,"2,974.0",4181,1190
BRONX,4,2008,Female,7623,668,"2,038.0",4460,1125
BRONX,4,2008,Male,8122,667,"2,309.0",4550,1263
BRONX,4,2009,Female,7532,678,"1,470.0",4297,1765
BRONX,4,2009,Male,7999,677,"1,749.0",4334,1916
BRONX,4,2010,Female,7739,674,"4,174.0",2513,1052
BRONX,4,2010,Male,8167,673,"4,330.0",2719,1118
BRONX,4,2011,Female,7715,676,"3,778.0",2868,1069
BRONX,4,2011,Male,8196,674,"4,151.0",2932,1113
BRONX,4,2012,Female,7457,678,"3,433.0",2775,1249
BRONX,4,2012,Male,7911,677,"3,768.0",2789,1354
BRONX,5,2006,Female,8098,648,"4,229.0",3291,578
BRONX,5,2006,Male,8295,646,"4,286.0",3407,602
BRONX,5,2007,Female,7903,657,"3,277.0",3867,759
BRONX,5,2007,Male,8357,655,"3,564.0",3935,858
BRONX,5,2008,Female,7549,665,"2,148.0",4399,1002
BRONX,5,2008,Male,8213,663,"2,533.0",4558,1122
BRONX,5,2009,Female,7486,675,"1,472.0",4329,1685
BRONX,5,2009,Male,8013,672,"1,784.0",4461,1768
BRONX,5,2010,Female,7500,674,"3,887.0",2591,1022
BRONX,5,2010,Male,8020,672,"4,158.0",2740,1122
BRONX,5,2011,Female,7655,676,"3,664.0",3057,934
BRONX,5,2011,Male,8050,674,"3,988.0",3058,1004
BRONX,5,2012,Female,7606,677,"3,469.0",2797,1340
BRONX,5,2012,Male,8112,674,"3,920.0",2847,1345
BRONX,6,2006,Female,7806,637,"4,789.0",2691,326
BRONX,6,2006,Male,8025,636,"4,904.0",2776,345
BRONX,6,2007,Female,7494,649,"3,663.0",3264,567
BRONX,6,2007,Male,8128,645,"4,327.0",3252,549
BRONX,6,2008,Female,7479,656,"2,870.0",3837,772
BRONX,6,2008,Male,7896,652,"3,374.0",3704,818
BRONX,6,2009,Female,7347,665,"2,189.0",4196,962
BRONX,6,2009,Male,8093,660,"2,898.0",4189,1006
BRONX,6,2010,Female,7433,666,"4,320.0",2096,1017
BRONX,6,2010,Male,7975,663,"4,832.0",2154,989
BRONX,6,2011,Female,7429,669,"4,117.0",2411,901
BRONX,6,2011,Male,7962,665,"4,725.0",2360,877
BRONX,6,2012,Female,7518,670,"3,834.0",2437,1247
BRONX,6,2012,Male,8026,666,"4,517.0",2331,1178
BRONX,7,2006,Female,8272,631,"5,673.0",2414,185
BRONX,7,2006,Male,8383,628,"5,892.0",2312,179
BRONX,7,2007,Female,7889,645,"4,370.0",3035,484
BRONX,7,2007,Male,8317,640,"4,947.0",2899,471
BRONX,7,2008,Female,7736,655,"3,066.0",4002,668
BRONX,7,2008,Male,8295,649,"3,831.0",3845,619
BRONX,7,2009,Female,7613,664,"1,987.0",4863,763
BRONX,7,2009,Male,7998,662,"2,445.0",4688,865
BRONX,7,2010,Female,7433,662,"4,387.0",2127,919
BRONX,7,2010,Male,8121,659,"5,119.0",2134,868
BRONX,7,2011,Female,7542,664,"4,372.0",2272,898
BRONX,7,2011,Male,7903,662,"4,679.0",2204,1020
BRONX,7,2012,Female,7391,664,"4,184.0",2208,999
BRONX,7,2012,Male,7982,661,"4,687.0",2269,1026
BRONX,8,2006,Female,8346,629,"6,130.0",2012,204
BRONX,8,2006,Male,8392,624,"6,360.0",1862,170
BRONX,8,2007,Female,8201,636,"5,504.0",2437,260
BRONX,8,2007,Male,8528,633,"5,949.0",2342,237
BRONX,8,2008,Female,7718,648,"3,974.0",3296,448
BRONX,8,2008,Male,8094,644,"4,434.0",3238,422
BRONX,8,2009,Female,7786,661,"2,714.0",4381,691
BRONX,8,2009,Male,8268,656,"3,323.0",4403,542
BRONX,8,2010,Female,7708,663,"5,163.0",1901,644
BRONX,8,2010,Male,8191,659,"5,815.0",1808,568
BRONX,8,2011,Female,7543,665,"4,415.0",2534,594
BRONX,8,2011,Male,8208,660,"5,248.0",2436,524
BRONX,8,2012,Female,7470,668,"4,152.0",2656,662
BRONX,8,2012,Male,7877,665,"4,739.0",2538,600
BRONX,All Grades,2006,Female,48244,644,"26,437.0",18403,3404
BRONX,All Grades,2006,Male,49616,642,"27,282.0",18682,3652
BRONX,All Grades,2007,Female,47011,654,"21,301.0",21034,4676
BRONX,All Grades,2007,Male,50061,651,"23,866.0",21195,5000
BRONX,All Grades,2008,Female,45661,662,"15,303.0",25117,5241
BRONX,All Grades,2008,Male,48700,659,"18,005.0",25219,5476
BRONX,All Grades,2009,Female,45423,671,"10,599.0",27585,7239
BRONX,All Grades,2009,Male,48521,668,"13,256.0",27851,7414
BRONX,All Grades,2010,Female,45466,670,"26,240.0",13502,5724
BRONX,All Grades,2010,Male,48687,668,"28,920.0",13910,5857
BRONX,All Grades,2011,Female,45598,672,"24,794.0",16042,4762
BRONX,All Grades,2011,Male,48423,669,"27,535.0",15843,5045
BRONX,All Grades,2012,Female,45190,673,"23,422.0",15798,5970
BRONX,All Grades,2012,Male,48218,670,"26,401.0",15819,5998
BROOKLYN,3,2006,Female,11345,675,"2,699.0",5808,2838
BROOKLYN,3,2006,Male,11708,673,"2,966.0",6012,2730
BROOKLYN,3,2007,Female,11192,685,"1,880.0",5806,3506
BROOKLYN,3,2007,Male,11569,681,"2,221.0",6116,3232
BROOKLYN,3,2008,Female,10622,686,"1,214.0",6801,2607
BROOKLYN,3,2008,Male,11260,683,"1,656.0",7009,2595
BROOKLYN,3,2009,Female,10803,691,794.0,7172,2837
BROOKLYN,3,2009,Male,11015,688,"1,108.0",7288,2619
BROOKLYN,3,2010,Female,10628,691,"4,830.0",3458,2340
BROOKLYN,3,2010,Male,11440,689,"5,432.0",3581,2427
BROOKLYN,3,2011,Female,10825,685,"4,848.0",4753,1224
BROOKLYN,3,2011,Male,11355,684,"5,216.0",4716,1423
